timestamp,bpm,text
00:00,128,Warm up easy. Settle into your rhythm.
05:00,142,Pick it up. Strong and quick for one minute.
06:00,128,Recover and stay smooth. You have this.
07:30,142,Go again. Light feet and steady effort.
08:30,128,Ease back. Breathe deep and reset.
10:00,142,Push the pace. Stay tall and controlled.
11:00,128,Recover here. Smooth rhythm and relaxed shoulders.
12:35,142,Turn it up. Strong effort for sixty-five seconds.
13:40,128,Back to steady. Find your breath and keep moving.
15:15,142,Another push. Stay focused and drive forward.
16:20,128,Recover with purpose. Smooth and steady.
17:50,142,Pick it up again. Quick feet and strong form.
18:55,128,Settle back in. Control your breathing.
20:25,142,One minute push. Make it crisp and confident.
21:25,128,Recover now. Stay loose and keep the rhythm.
23:00,142,Final fast interval. Finish this one strong.
24:05,128,Cooldown. Ease the effort and celebrate the work.
27:00,60,That's it! You're done.
